se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
17.48333333,0.53,24.5,298,0.34
15.75,0.71,,,0.26
5.666666667,0.72,,,0.41
5.616666667,0.61,,,0.34
5.566666667,0.55,,,0.19
5.216666667,1.12,24.3,468,0.89
5.6,1.03,24.1,469,0.63
5.783333333,1.11,24.1,481,0.68
6.583333333,0.86,24.4,,0.42
6.583333333,0.85,24.5,,0.36
5.866666667,0.32,28.1,395,0.08
16.16666667,0.58,27.6,,0.14
5.75,0.08,27.9,349,0.11
16.28333333,0.52,27.4,,0.23
16.23333333,0.55,27.6,,0.28
16.4,0.55,27,,0.39
16.41666667,0.54,27.3,,0.34
16.51666667,1.28,27.2,,0.66
16.31666667,1.28,27.2,,0.78
16.18333333,0.52,27.7,305,0.2
16.1,0.52,27.5,305,0.32
16.25,0.52,27.6,308,0.15
16.21666667,0.52,27.7,306,0.11
16.16666667,0.78,27.4,306,0.5
15.96666667,0.78,27.5,331,0.54
16.41666667,1.2,27.6,,0.55
15.91666667,1.26,27.7,304,1.2
16.31666667,1.23,27.3,,0.46
15.88333333,1.44,27.7,305,0.8
15.93333333,1.09,27.3,303,0.47
16.33333333,1.19,27.4,,0.8
5.8,0.31,28.8,350,0.01
15.98333333,0.96,27.2,305,0.19
16.13333333,0.52,27.8,309,0.28
5.966666667,0.31,28.6,342,0.08
16.11666667,0.6,27.6,310,0.26
15.95,1.99,28.1,,1.38
16.08333333,0.6,27.9,304,0.11
15.9,1.95,28.1,,1.34
16,0.55,27.7,309,0.01
5.616666667,1.06,27.2,357,0.79
15.9,2.04,27.6,,0.54
15.8,0.66,27.9,309,0.32
5.483333333,1.43,27.3,349,0.87
15.83333333,1.76,27.6,,1.3
16.2,3.46,27.2,319,2.06
16.18333333,1.87,27.4,,0.87
16.18333333,2.69,27.6,322,1.9
17.7,0.54,27.3,,0.53
16.16666667,2.63,27.4,321,2.33
16.18333333,2.51,27.3,319,1.81
16.16666667,0.7,27.4,311,0.21
16.28333333,0.55,27.4,309,0.1
16.33333333,0.6,27.8,309,0.15
5.366666667,1.3,27.4,347,0.6
15.71666667,0.86,27.4,,0.7
5.216666667,1.22,27.2,349,0.54
16.4,0.63,28.8,,0.27
6,0.37,28.2,349,0.1
5.783333333,0.36,27.9,352,0.14
16.36666667,0.84,27.7,,0.2
5.833333333,0.3,28.2,350,0.18
5.733333333,0.23,28,350,0.04
16.28333333,0.49,27.5,,0.1
16.31666667,0.67,27.5,308,0.06
16.23333333,0.85,27.2,,0.35
5.833333333,0.53,28.5,349,0.19
5.633333333,0.01,27.7,477,0.01
16.26666667,0.99,27.3,,0.41
5.633333333,0.05,27.5,471,0.03
5.566666667,0.04,27.7,472,0.04
5.366666667,0.06,28.1,471,0.06
5.383333333,0.1,28.3,474,0.03
5.65,0.04,27.1,470,0.01
16.48333333,0.75,27.2,,0.17
5.6,0.7,27.1,293,0.4
14.88333333,0.94,27.9,,0.15
5.5,0.76,27.4,293,0.35
16.33333333,0.58,27.7,309,0.06
5.566666667,0.65,27.9,291,0.54
5.733333333,0.33,27.7,477,0.02
5.566666667,0.27,27.9,473,0.05
5.45,0.22,27.6,469,0.02
5.216666667,0.43,28.2,472,0.05
5.85,0.11,28.7,346,0.08
5.45,1.68,27.3,349,0.27
16.66666667,0.72,29,294,0.36
16.13333333,0.68,27.6,296,0.32
16.15,0.63,27.3,293,0.11
16.2,0.67,27.3,290,0.28
16.26666667,0.65,28,292,0.53
16.13333333,0.75,27.5,290,0.04
16.38333333,0.77,28.1,293,0.02
15.51666667,0.64,28.3,291,0.48
14.95,0.64,28.5,297,0.15
14.95,0.48,28.4,292,0.04
15.83333333,0.79,29.1,300,0.03
15.8,0.87,28.3,293,0.48
15.8,0.81,29,293,0.49
15.9,0.67,28.5,293,0.2
15.76666667,0.81,28.3,293,0.52
15.8,0.84,28.3,292,0.12
16.68333333,0.41,27.9,296,0.03
16.35,0.5,27.6,292,0.47
15.9,0.58,27.4,292,0.48
16.2,0.55,28,291,0.56
16.35,0.67,27.8,291,0.44
16.3,0.6,27.8,291,0.09
16.35,0.84,27.9,345,0.31
16.33333333,0.82,27.9,346,0.19
16.33333333,0.84,28,350,0.14
16.33333333,0.78,28,345,0.01
16.35,0.82,28.2,348,0.39
16.36666667,0.82,28,345,0.17
6.15,0.41,27.7,338,0.41
6.083333333,0.79,27.2,330,0.67
6,0.78,27.2,330,0.36
5.883333333,0.76,27.8,331,0.44
5.833333333,0.74,27,331,0.34
4.883333333,0.66,26.7,,0.45
6.366666667,1.45,27.2,335,0.99
6.516666667,1.16,27.2,334,0.49
5.016666667,0.42,26.7,,0.33
6.183333333,1.09,28,331,0.69
5.033333333,0.49,27,,0.32
5.783333333,1.64,27.3,335,1.1
5,0.64,27,,0.52
6.033333333,1.29,28,334,0.78
4.983333333,0.97,27.1,,0.65
6.2,0.63,28.7,488,0.23
5.85,0.86,27.7,,0.57
6.133333333,0.78,28.2,374,0.59
5.65,0.9,27.4,,0.84
6.033333333,0.69,27.9,356,0.24
5.633333333,0.92,27.4,,0.67
5.916666667,0.8,27.7,390,0.45
5.533333333,0.94,28,,0.65
5.966666667,0.8,27.5,376,0.5
5.483333333,0.97,27.7,,0.57
5.8,0.47,29.9,329,0.31
6.05,0.78,27.6,,0.56
6.4,0.57,27.5,409,0.37
6.233333333,0.8,27.4,,0.59
6.45,0.58,28.2,411,0.49
6.3,0.55,27.9,,0.36
6.283333333,0.65,28,377,0.51
6.283333333,0.65,28.2,,0.45
6.25,0.89,29.3,353,0.63
6.25,0.79,27.9,,0.46
6.283333333,0.7,28.3,357,0.38
6.4,0.71,28.5,,0.52
6.316666667,0.73,28.3,311,0.28
6.633333333,0.63,28.1,317,0.41
6.35,0.64,27.6,,0.33
6.616666667,0.47,27.4,309,0.33
6.05,0.67,27.7,,0.34
6.633333333,1.01,27.9,314,0.9
6.033333333,0.54,27.4,,0.28
6.683333333,0.98,27.7,308,0.83
5.966666667,0.66,27.4,,0.29
6.683333333,0.93,27.8,308,0.52
5.933333333,0.45,27.4,,0.15
6.666666667,1.06,28,306,0.84
5.916666667,0.48,27.9,,0.25
6.6,1.55,27.2,323,0.37
5.133333333,0.08,27,,0.05
6.566666667,1.45,28,309,1.27
5.066666667,0,27.5,,0.01
6.4,1.7,27.3,309,1.35
5.05,0.19,27.7,,0.08
6.233333333,1.54,27,307,1.2
5.066666667,0.1,27.4,,0.12
6.316666667,1.45,27.2,307,1.29
5.233333333,0.11,27.6,,0.05
6.316666667,1.54,27.6,310,1.38
5.25,0.04,27.6,,0.01
5.65,0.06,27.3,,0.01
5.55,0.02,27.2,,0.01
5.533333333,0.07,27.3,,0.08
5.466666667,0.05,27.8,,0.09
5.483333333,0.13,27.6,,0.11
5.483333333,0.14,27.8,,0.03
6.1,0.52,28.1,306,0.29
5.7,0.48,28,308,0.22
5.633333333,0.23,27.3,410,0.21
5.45,0.57,28.2,382,0.14
5.483333333,0.52,26.8,350,0.02
16.23333333,0.36,28.4,,0.03
6.166666667,0.66,26.8,342,0.27
16.13333333,0.32,28.1,,0.06
16.16666667,0.83,28.3,311,0.27
16.15,0.29,28.1,,0.05
6.3,0.67,26.8,326,0.37
16.16666667,0.72,28.3,306,0.2
6.333333333,0.64,27.8,338,0.33
16.13333333,0.21,28,,0.08
16.1,0.79,28.43,305,0.13
16.08333333,0.26,27.9,,0.03
6.3,0.64,27.5,330,0.45
16.13333333,0.63,28.1,302,0.18
16.08333333,0.37,28.1,304,0.22
6.783333333,0.28,28,489,0.01
6.766666667,0.38,28,473,0.02
6.716666667,0.25,27.8,473,0.04
6.5,0.53,28.3,478,0.04
6.466666667,0.12,28.5,478,0.11
17.41666667,0.73,27.6,,0.56
6.433333333,0.18,28,474,0.11
17.38333333,0.75,26.7,,0.45
6.433333333,0.94,28,292,0.17
17.46666667,0.74,28.3,,0.42
6.383333333,0.93,28.2,292,0.33
17.45,0.72,27.5,,0.49
6.366666667,0.95,27.9,291,0.04
17.53333333,0.72,27.6,,0.53
6.4,0.91,27.8,291,0.03
6.333333333,0.82,28.1,291,0.21
6.016666667,0.19,27.8,472,0.08
16.48333333,0.8,27.8,311,0.33
5.933333333,0.08,27.8,426,0.09
16.41666667,0.67,28.1,308,0.42
5.416666667,0.12,28,462,0.09
16.46666667,0.65,28.3,307,0.5
5.4,0.15,28.4,465,0.04
16.5,0.61,28.2,307,0.18
6.1,0.52,28.2,471,0.06
6,0.06,28.4,472,0.11
5.933333333,0.37,28.2,472,0.12
5.933333333,0.47,28.5,475,0.13
5.983333333,0.53,28.3,477,0.01
16.03333333,0.93,28.4,294,0.75
5.866666667,0.78,27.7,,0.54
6.25,0.78,27.8,312,0.52
